"","TS_DATE"
"354","2019-11-26"
"355","2019-02-24"
"356","2019-06-02"
"357","2019-02-21"
"358","2019-01-12"
"359","2019-10-10"
"360","2019-07-30"
"361","2019-06-03"
"362","2019-02-06"
"363","2019-01-29"
"364","2019-12-31"
"365","2019-10-30"
"366","2019-07-09"
"367","2019-11-03"
"368","2019-04-30"
"369","2019-11-09"
"370","2019-11-29"
"371","2019-02-11"
"372","2019-01-19"
"373","2019-05-05"
"374","2019-05-04"
"375","2019-07-12"
"376","2019-09-28"
"377","2019-10-08"
"378","2019-12-20"
"379","2019-11-30"
"380","2019-09-18"
"381","2019-05-11"
"382","2019-09-22"
"383","2019-08-21"
"384","2019-01-01"
"385","2019-12-31"
"386","2019-06-08"
"387","2019-11-07"
"388","2019-02-03"
"389","2019-09-05"
"390","2019-07-03"
"391","2019-02-19"
"392","2019-08-29"
"393","2019-03-02"
"394","2019-06-11"
"395","2019-09-07"
"396","2019-02-22"
"397","2019-12-25"
"398","2019-12-25"
"399","2019-04-30"
"400","2019-12-09"
"401","2019-06-29"
"402","2019-07-22"
"403","2019-06-23"
"404","2019-06-09"
"405","2019-04-30"
"406","2019-01-24"
"407","2019-02-20"
"408","2019-05-30"
"409","2019-06-01"
"410","2019-05-24"
"411","2019-06-04"
"412","2019-02-25"
"413","2019-11-12"
"414","2019-04-30"
"415","2019-05-10"
"416","2019-02-19"
"417","2019-08-01"
"418","2019-11-27"
"419","2019-10-08"
"420","2019-09-17"
"421","2019-12-18"
"422","2019-06-07"
"423","2019-09-25"
"424","2019-09-08"
"425","2019-05-19"
"426","2019-07-03"
"427","2019-04-12"
"428","2019-06-29"
"429","2019-10-11"
"430","2019-01-30"
"431","2019-03-12"
"432","2019-01-17"
"433","2019-02-23"
"434","2019-12-16"
"435","2019-11-23"
"436","2019-03-24"
"437","2019-12-18"
"438","2019-07-29"
"439","2019-10-13"
"440","2019-04-15"
"441","2019-06-25"
"442","2019-05-29"
"443","2019-07-04"
"444","2019-01-04"
"445","2019-02-23"
"446","2019-12-17"
"447","2019-12-11"
"448","2019-11-15"
"449","2019-01-31"
"450","2019-05-15"
"451","2019-08-12"
"452","2019-05-01"
"453","2019-04-29"
"454","2019-05-10"
"455","2019-03-20"
"456","2019-03-01"
"457","2019-02-02"
"458","2019-07-08"
"459","2019-11-03"
"460","2019-09-24"
"461","2019-10-18"
"462","2019-10-03"
"463","2019-02-01"
"464","2019-02-05"
"465","2019-07-05"
"466","2019-12-20"
"467","2019-01-17"
"468","2019-12-05"
"469","2019-08-20"
"470","2019-01-03"
"471","2019-04-29"
"472","2019-06-12"
"473","2019-10-29"
"474","2019-06-19"
"475","2019-02-18"
"476","2019-09-09"
"477","2019-03-10"
"478","2019-11-08"
"479","2019-04-30"
"480","2019-04-16"
"481","2019-02-17"
"482","2019-07-03"
"483","2019-12-16"
"484","2019-08-07"
"485","2019-02-15"
"486","2019-05-05"
"487","2019-10-15"
"488","2019-09-22"
"489","2019-01-19"
"490","2019-08-26"
"491","2019-04-06"
"492","2019-01-19"
"493","2019-03-01"
"494","2019-03-13"
"495","2019-11-10"
"496","2019-07-13"
"497","2019-04-08"
"498","2019-08-12"
"499","2019-01-24"
"500","2019-09-11"
"501","2019-12-02"
"502","2019-11-22"
"503","2019-11-22"
"504","2019-05-05"
"505","2019-04-03"
"506","2019-08-05"
"507","2019-10-19"
"508","2019-10-20"
"509","2019-07-15"
"510","2019-04-19"
"511","2019-04-24"
"512","2019-03-03"
"513","2019-07-28"
"514","2019-11-16"
"515","2019-08-26"
"516","2019-06-28"
"517","2019-09-09"
"518","2019-02-20"
"519","2019-09-01"
"520","2019-04-01"
"521","2019-06-01"
"522","2019-03-29"
"523","2019-05-03"
"524","2019-10-06"
"525","2019-02-26"
"526","2019-01-07"
"527","2019-04-10"
"528","2019-03-10"
"529","2019-10-26"
"530","2019-07-23"
"531","2019-06-28"
"532","2019-05-20"
"533","2019-04-30"
"534","2019-11-12"
"535","2019-05-27"
"536","2019-02-26"
"537","2019-04-28"
"538","2019-03-19"
"539","2019-03-25"
"540","2019-05-24"
"541","2019-11-17"
"542","2019-08-15"
"543","2019-08-21"
"544","2019-12-08"
"545","2019-02-13"
"546","2019-12-14"
"547","2019-07-06"
"548","2019-01-01"
"549","2019-05-29"
"550","2019-10-07"
"551","2019-08-07"
"552","2019-05-13"
"553","2019-12-31"
"554","2019-06-10"
"555","2019-09-17"
"556","2019-01-11"
"557","2019-02-14"
"558","2019-07-31"
"559","2019-10-29"
"560","2019-01-21"
"561","2019-12-09"
"562","2019-05-21"
"563","2019-05-16"
"564","2019-01-07"
"565","2019-09-03"
"566","2019-11-05"
"567","2019-05-05"
"568","2019-10-02"
"569","2019-04-22"
"570","2019-09-30"
"571","2019-06-08"
"572","2019-11-29"
"573","2019-05-25"
"574","2019-07-05"
"575","2019-03-24"
"576","2019-08-22"
"577","2019-07-31"
"578","2019-02-11"
"579","2019-08-31"
"580","2019-04-26"
"581","2019-10-17"
"582","2019-02-11"
"583","2019-03-23"
"584","2019-10-07"
"585","2019-01-17"
"586","2019-11-14"
"587","2019-04-11"
"588","2019-04-25"
"589","2019-11-30"
"590","2019-09-30"
"591","2019-10-25"
"592","2019-09-14"
"593","2019-08-20"
"594","2019-01-30"
"595","2019-04-21"
"596","2019-08-05"
"597","2019-10-26"
"598","2019-04-15"
"599","2019-10-07"
"600","2019-06-05"
"601","2019-08-15"
"602","2019-03-03"
"603","2019-12-18"
"604","2019-02-15"
"605","2019-09-03"
"606","2019-10-11"
"607","2019-01-22"
"608","2019-02-06"
"609","2019-08-17"
"610","2019-04-22"
"611","2019-03-04"
"612","2019-04-15"
"613","2019-04-12"
"614","2019-03-26"
"615","2019-05-27"
"616","2019-06-08"
"617","2019-08-03"
"618","2019-03-23"
"619","2019-01-08"
"620","2019-09-15"
"621","2019-05-07"
"622","2019-03-08"
"623","2019-03-07"
"624","2019-06-17"
"625","2019-06-05"
"626","2019-10-28"
"627","2019-10-12"
"628","2019-07-01"
"629","2019-10-11"
"630","2019-01-30"
"631","2019-05-03"
"632","2019-06-07"
"633","2019-07-06"
"634","2019-10-08"
"635","2019-12-27"
"636","2019-03-30"
"637","2019-01-12"
"638","2019-11-19"
"639","2019-05-17"
"640","2019-09-17"
"641","2019-11-17"
"642","2019-06-08"
"643","2019-12-06"
"644","2019-05-25"
"645","2019-09-25"
"646","2020-01-01"
"647","2019-12-11"
"648","2019-04-19"
"649","2019-04-09"
"650","2019-01-11"
"651","2019-02-02"
"652","2019-05-19"
"653","2019-02-17"
"654","2019-12-29"
"655","2019-05-13"
"656","2019-05-06"
"657","2019-09-05"
"658","2019-05-25"
"659","2019-10-19"
"660","2019-03-02"
"661","2019-08-11"
"662","2019-05-05"
"663","2019-07-19"
"664","2019-09-27"
"665","2019-05-19"
"666","2019-08-10"
"667","2019-03-08"
"668","2019-09-27"
"669","2019-09-17"
"670","2019-04-12"
"671","2019-10-10"
"672","2019-04-13"
"673","2019-08-26"
"674","2019-09-17"
"675","2019-06-24"
"676","2019-03-04"
"677","2019-09-30"
"678","2019-12-30"
"679","2019-02-26"
"680","2019-05-10"
"681","2019-01-15"
"682","2019-09-28"
"683","2019-12-06"
"684","2019-05-22"
"685","2019-08-07"
"686","2019-05-27"
"687","2019-09-28"
"688","2019-09-22"
"689","2019-02-14"
"690","2019-02-03"
"691","2019-12-30"
"692","2019-12-08"
"693","2019-07-17"
"694","2019-02-16"
"695","2019-03-24"
"696","2019-01-27"
"697","2019-04-20"
"698","2019-01-18"
"699","2019-12-29"
"700","2019-08-17"
"701","2019-11-15"
"702","2019-05-08"
"703","2019-11-01"
"704","2019-12-22"
"705","2019-02-12"
"706","2019-12-20"
"707","2019-08-06"
"708","2019-12-23"
"709","2019-06-03"
"710","2019-09-08"
"711","2019-03-20"
"712","2019-07-08"
"713","2019-12-08"
"714","2019-01-15"
"715","2019-11-21"
"716","2019-02-17"
"717","2019-02-05"
"718","2019-06-29"
"719","2019-12-30"
"720","2019-02-21"
"721","2019-02-14"
"722","2019-12-08"
"723","2019-02-25"
"724","2019-05-08"
"725","2019-04-17"
"726","2019-05-27"
"727","2019-06-29"
"728","2019-01-30"
"729","2019-07-17"
"730","2019-07-23"
"731","2019-05-25"
"732","2019-03-10"
"733","2019-07-21"
"734","2019-01-28"
"735","2019-11-06"
"736","2019-07-12"
"737","2019-03-04"
"738","2019-05-31"
"739","2019-09-19"
"740","2019-10-19"
"741","2019-11-11"
"742","2019-06-26"
"743","2019-03-17"
"744","2019-03-10"
"745","2019-11-27"
"746","2019-04-16"
"747","2019-10-03"
"748","2019-08-30"
"749","2019-04-04"
"750","2019-06-16"
"751","2019-10-06"
"752","2019-01-23"
"753","2019-10-29"
"754","2019-08-27"
"755","2019-10-28"
"756","2019-01-10"
"757","2019-08-12"
"758","2019-03-20"
"759","2019-05-19"
"760","2019-07-19"
"761","2019-02-19"
"762","2019-02-10"
"763","2019-06-09"
"764","2019-04-05"
"765","2019-07-09"
"766","2019-03-24"
"767","2019-06-17"
"768","2019-12-11"
"769","2019-12-21"
"770","2019-11-28"
"771","2019-04-12"
"772","2019-09-23"
"773","2019-04-13"
"774","2019-04-05"
"775","2019-08-04"
"776","2019-09-30"
"777","2019-12-04"
"778","2019-11-30"
"779","2019-08-10"
"780","2019-10-06"
"781","2019-03-28"
"782","2019-07-16"
"783","2019-02-26"
"784","2020-01-01"
"785","2019-01-06"
"786","2019-12-14"
"787","2019-06-28"
"788","2019-05-18"
"789","2019-06-05"
"790","2019-10-14"
"791","2019-06-15"
"792","2019-06-29"
"793","2019-08-05"
"794","2019-07-26"
"795","2019-11-05"
"796","2019-12-12"
"797","2019-06-06"
"798","2019-01-07"
"799","2019-05-10"
"800","2019-05-18"
"801","2019-04-01"
"802","2019-09-25"
"803","2019-10-22"
"804","2019-07-21"
"805","2019-12-23"
"806","2019-06-19"
"807","2019-10-27"
"808","2019-01-11"
"809","2019-07-14"
"810","2019-10-06"
"811","2019-11-15"
"812","2019-10-28"
"813","2019-08-27"
"814","2019-11-01"
"815","2019-05-31"
"816","2019-02-12"
"817","2019-04-15"
"818","2019-05-31"
"819","2019-09-28"
"820","2019-04-30"
"821","2019-01-07"
"822","2019-02-12"
"823","2019-03-17"
"824","2019-03-17"
"825","2019-04-09"
"826","2019-06-16"
"827","2019-08-22"
"828","2019-11-22"
"829","2019-03-02"
"830","2019-09-04"
"831","2019-05-07"
"832","2019-12-23"
"833","2019-07-06"
"834","2019-04-19"
"835","2019-01-08"
"836","2019-11-26"
"837","2019-03-04"
"838","2019-07-05"
"839","2019-10-04"
"840","2019-05-21"
"841","2019-10-21"
"842","2019-03-26"
"843","2019-02-13"
"844","2019-05-11"
"845","2019-07-28"
"846","2019-12-15"
"847","2019-07-21"
"848","2019-06-22"
"849","2019-12-28"
"850","2019-10-15"
"851","2019-05-14"
"852","2019-05-04"
"853","2019-05-03"
"854","2019-01-06"
"855","2019-01-15"
"856","2019-02-25"
"857","2019-03-12"
"858","2019-06-09"
"859","2019-02-10"
"860","2019-10-10"
"861","2019-08-23"
"862","2019-11-24"
"863","2019-06-14"
"864","2019-01-06"
"865","2019-06-23"
"866","2019-07-29"
"867","2019-05-28"
"868","2019-01-09"
"869","2019-11-23"
"870","2019-02-19"
"871","2019-06-21"
"872","2019-12-23"
"873","2019-01-16"
"874","2019-01-05"
"875","2019-03-14"
"876","2019-10-27"
"877","2019-01-25"
"878","2019-10-30"
"879","2019-12-21"
"880","2019-07-10"
"881","2019-01-09"
"882","2019-05-24"
"883","2019-06-25"
"884","2019-11-12"
"885","2019-10-31"
"886","2019-09-07"
"887","2019-10-02"
"888","2019-05-12"
"889","2019-05-01"
"890","2019-11-16"
"891","2019-12-08"
"892","2019-01-28"
"893","2019-09-22"
"894","2019-07-15"
"895","2019-09-12"
"896","2019-03-27"
"897","2019-12-30"
"898","2019-11-06"
"899","2019-08-03"
"900","2019-12-28"
"901","2019-11-11"
"902","2019-11-25"
"903","2019-10-24"
"904","2019-09-04"
"905","2019-05-28"
"906","2019-04-28"
"907","2019-06-02"
"908","2019-05-10"
"909","2019-12-01"
"910","2019-02-27"
"911","2019-08-02"
"912","2019-02-03"
"913","2019-03-07"
"914","2019-11-22"
"915","2019-02-05"
"916","2019-04-13"
"917","2019-01-30"
"918","2019-05-30"
"919","2019-05-27"
"920","2019-07-17"
"921","2019-07-15"
"922","2019-06-18"
"923","2019-07-13"
"924","2019-04-11"
"925","2019-01-13"
"926","2019-03-15"
"927","2019-03-05"
"928","2019-09-16"
"929","2019-11-30"
"930","2019-09-11"
"931","2019-05-15"
"932","2019-08-22"
"933","2019-08-30"
"934","2019-06-14"
"935","2019-07-03"
"936","2019-12-05"
"937","2019-08-13"
"938","2019-05-14"
"939","2019-03-03"
"940","2019-07-05"
"941","2019-08-19"
"942","2019-05-28"
"943","2019-08-31"
"944","2019-08-20"
"945","2019-09-01"
"946","2019-01-04"
"947","2019-04-06"
"948","2019-06-30"
"949","2019-04-14"
"950","2019-11-02"
"951","2019-09-15"
"952","2019-02-20"
"953","2019-05-05"
"954","2019-06-30"
"955","2019-09-27"
"956","2019-03-17"
"957","2019-03-24"
"958","2019-06-25"
"959","2019-08-23"
"960","2019-06-19"
"961","2019-07-01"
"962","2019-10-06"
"963","2019-02-28"
"964","2019-11-26"
"965","2019-10-14"
"966","2019-02-15"
"967","2019-09-15"
"968","2019-11-25"
"969","2019-01-04"
"970","2019-11-13"
"971","2019-10-23"
"972","2019-07-15"
"973","2019-06-12"
"974","2019-02-13"
"975","2019-09-02"
"976","2019-10-10"
"977","2019-04-01"
"978","2019-09-14"
"979","2019-05-14"
"980","2019-08-01"
"981","2019-03-18"
"982","2019-07-10"
"983","2019-12-27"
"984","2019-12-16"
"985","2019-05-24"
"986","2019-09-04"
"987","2019-10-05"
"988","2019-09-19"
"989","2019-09-03"
"990","2019-10-12"
"991","2019-11-21"
"992","2019-04-22"
"993","2019-05-27"
"994","2019-08-01"
"995","2019-04-01"
"996","2019-11-16"
"997","2019-10-19"
"998","2019-04-07"
"999","2019-07-11"
"1000","2019-09-05"
"1001","2019-01-03"
"1002","2019-11-06"
"1003","2019-07-10"
"1004","2019-08-03"
"1005","2019-08-28"
"1006","2019-09-26"
"1007","2019-04-18"
"1008","2019-12-25"
"1009","2019-09-23"
"1010","2019-04-11"
"1011","2019-08-08"
"1012","2019-02-20"
"1013","2019-12-20"
"1014","2019-06-02"
"1015","2019-09-15"
"1016","2019-09-22"
"1017","2019-11-10"
"1018","2019-05-03"
"1019","2019-01-13"
"1020","2019-07-21"
"1021","2019-09-27"
"1022","2019-12-30"
"1023","2019-09-24"
"1024","2019-02-03"
"1025","2019-07-22"
"1026","2019-03-07"
"1027","2019-02-15"
"1028","2019-04-02"
"1029","2019-10-29"
"1030","2019-11-24"
"1031","2019-12-14"
"1032","2019-03-12"
"1033","2019-02-24"
"1034","2019-03-07"
"1035","2019-05-21"
"1036","2019-05-10"
"1037","2019-07-22"
"1038","2019-07-24"
"1039","2019-01-09"
"1040","2019-12-18"
"1041","2019-11-21"
"1042","2019-06-29"
"1043","2019-12-12"
"1044","2019-10-26"
"1045","2019-01-15"
"1046","2019-09-08"
"1047","2019-01-04"
"1048","2019-12-08"
"1049","2019-05-23"
"1050","2019-10-30"
"1051","2019-10-24"
"1052","2019-06-12"
"1053","2019-10-19"
"1054","2019-01-12"
"1055","2019-12-12"
"1056","2019-05-25"
"1057","2019-12-29"
"1058","2019-02-11"
"1059","2019-02-01"
"1060","2019-11-20"
"1061","2019-11-10"
"1062","2019-09-10"
"1063","2019-07-23"
"1064","2019-06-12"
"1065","2019-09-17"
"1066","2019-03-30"
"1067","2019-11-30"
"1068","2019-11-09"
"1069","2019-09-08"
"1070","2019-01-15"
"1071","2019-01-11"
"1072","2019-11-08"
"1073","2019-01-23"
"1074","2019-12-16"
"1075","2019-09-21"
"1076","2019-08-07"
"1077","2019-10-20"
"1078","2019-06-04"
"1079","2019-08-22"
"1080","2019-03-11"
"1081","2019-05-10"
"1082","2019-10-09"
"1083","2019-08-14"
"1084","2019-01-19"
"1085","2019-07-17"
"1086","2019-07-07"
"1087","2019-09-23"
"1088","2019-09-26"
"1089","2019-03-01"
"1090","2019-06-05"
"1091","2019-10-12"
"1092","2019-02-28"
"1093","2019-07-07"
"1094","2019-04-03"
"1095","2019-03-11"
"1096","2019-01-09"
"1097","2019-10-07"
"1098","2019-03-19"
"1099","2019-03-26"
"1100","2019-08-02"
"1101","2019-06-10"
"1102","2019-10-25"
"1103","2019-01-11"
"1104","2019-02-19"
"1105","2019-12-25"
"1106","2019-06-02"
"1107","2019-02-06"
"1108","2019-11-29"
"1109","2019-10-27"
"1110","2019-03-25"
"1111","2019-05-01"
"1112","2019-07-01"
"1113","2019-10-25"
"1114","2019-06-03"
"1115","2019-04-15"
"1116","2019-04-08"
"1117","2019-08-28"
"1118","2019-11-02"
"1119","2019-10-05"
"1120","2019-01-14"
"1121","2019-05-23"
"1122","2019-02-13"
"1123","2019-03-01"
"1124","2019-06-08"
"1125","2019-03-05"
"1126","2019-06-21"
"1127","2019-11-10"
"1128","2019-03-09"
"1129","2019-05-16"
"1130","2019-10-27"
"1131","2019-01-16"
"1132","2019-11-30"
"1133","2019-06-08"
"1134","2019-03-14"
"1135","2019-10-16"
"1136","2019-11-27"
"1137","2019-12-31"
"1138","2019-11-17"
"1139","2019-06-29"
"1140","2019-04-07"
"1141","2019-04-07"
"1142","2019-12-21"
"1143","2019-11-16"
"1144","2019-11-10"
"1145","2019-07-11"
"1146","2019-01-11"
"1147","2019-08-15"
"1148","2019-05-02"
"1149","2019-09-03"
"1150","2019-06-21"
"1151","2019-09-16"
"1152","2019-02-16"
"1153","2019-09-13"
"1154","2019-02-04"
"1155","2019-06-30"
"1156","2019-05-05"
"1157","2019-03-08"
"1158","2019-11-21"
"1159","2019-02-23"
"1160","2019-04-14"
"1161","2019-07-08"
"1162","2019-12-15"
"1163","2019-04-07"
"1164","2019-09-14"
"1165","2019-12-22"
"1166","2019-03-24"
"1167","2019-05-23"
"1168","2019-10-03"
"1169","2019-03-15"
"1170","2019-03-30"
"1171","2019-11-04"
"1172","2019-09-23"
"1173","2019-12-13"
"1174","2019-12-05"
"1175","2019-04-23"
"1176","2019-03-24"
"1177","2019-10-31"
"1178","2019-02-13"
"1179","2019-05-30"
"1180","2019-06-30"
"1181","2019-01-06"
"1182","2019-07-05"
"1183","2019-10-21"
"1184","2019-04-11"
"1185","2019-07-15"
"1186","2019-12-07"
"1187","2019-05-17"
"1188","2019-12-21"
"1189","2019-08-25"
"1190","2019-04-03"
"1191","2019-12-28"
"1192","2019-11-05"
"1193","2019-03-16"
"1194","2019-05-29"
"1195","2019-08-05"
"1196","2019-10-04"
"1197","2019-10-18"
"1198","2019-09-26"
"1199","2019-02-25"
"1200","2019-10-14"
"1201","2019-01-21"
"1202","2019-04-25"
"1203","2019-11-09"
"1204","2019-09-25"
"1205","2019-10-28"
"1206","2019-12-07"
"1207","2019-12-16"
"1208","2019-09-23"
"1209","2019-04-13"
"1210","2019-04-11"
"1211","2019-07-09"
"1212","2019-09-01"
"1213","2019-10-29"
"1214","2019-02-26"
"1215","2019-03-29"
"1216","2019-10-14"
"1217","2019-06-18"
"1218","2019-06-21"
"1219","2019-09-29"
"1220","2019-05-07"
"1221","2019-06-13"
"1222","2019-05-02"
"1223","2019-10-15"
"1224","2019-06-10"
"1225","2019-04-07"
"1226","2019-01-11"
"1227","2019-01-28"
"1228","2019-01-10"
"1229","2019-10-10"
"1230","2019-12-21"
"1231","2019-07-22"
"1232","2019-01-26"
"1233","2019-11-08"
"1234","2019-07-17"
"1235","2019-01-25"
"1236","2019-07-23"
"1237","2019-10-01"
"1238","2019-08-18"
"1239","2019-06-25"
"1240","2019-04-01"
"1241","2019-11-03"
"1242","2019-01-31"
"1243","2019-05-13"
"1244","2019-10-10"
"1245","2019-03-09"
"1246","2019-08-04"
"1247","2019-09-07"
"1248","2019-10-22"
